date,date1,date2,date3,date4,date5,OT,OT,OT
3.968833,3.770745,49.076648,4428.010874,-0.211344,40.978271,6.683401,2.493417,-29.000994
4.012186,3.808436,49.053038,4424.328744,-0.218143,40.919144,6.694858,2.496215,-29.000312
4.056500,3.848707,49.027055,4420.639747,-0.223364,40.858641,6.708701,2.499827,-29.000463
4.102136,3.885814,49.000936,4416.944936,-0.230489,40.798210,6.721736,2.504669,-29.002078
4.145060,3.923900,48.974035,4413.245775,-0.234769,40.736876,6.734977,2.509444,-29.001706
4.191315,3.963354,48.945909,4409.537254,-0.242336,40.676480,6.748535,2.514687,-29.000656
4.236726,4.002101,48.917359,4405.824373,-0.249639,40.617704,6.764811,2.520813,-29.001406
4.281952,4.040173,48.887839,4402.102656,-0.256226,40.557293,6.783811,2.526960,-29.001520
4.325418,4.078046,48.857603,4398.372576,-0.261364,40.498816,6.800685,2.533049,-28.999326
4.369124,4.115903,48.827682,4394.633493,-0.267522,40.437405,6.820028,2.540160,-28.999160
4.414529,4.154065,48.796365,4390.887301,-0.271797,40.376935,6.838422,2.547940,-28.999666
4.457847,4.192676,48.763147,4387.133938,-0.276242,40.315697,6.856944,2.555992,-29.000565
4.500432,4.230730,48.730853,4383.369278,-0.282129,40.254136,6.876422,2.564953,-29.001113
4.548596,4.266009,48.698728,4379.594689,-0.289150,40.192103,6.895879,2.572808,-29.002413
4.592259,4.303268,48.667260,4375.811904,-0.293421,40.129519,6.916871,2.580194,-29.000879
4.636760,4.340782,48.634077,4372.015805,-0.299301,40.068481,6.938674,2.587870,-29.001338
4.683289,4.378637,48.599726,4368.211867,-0.304327,40.006043,6.961042,2.593965,-29.001193
4.728657,4.417345,48.564993,4364.393469,-0.308138,39.944043,6.982584,2.599509,-29.001711
4.773671,4.456632,48.529815,4360.565054,-0.311104,39.882723,7.003257,2.607271,-29.002679
4.818615,4.493209,48.493858,4356.724145,-0.313692,39.817971,7.026444,2.614816,-29.003223
4.861544,4.531897,48.457597,4352.873492,-0.317699,39.755732,7.048679,2.621731,-29.001826
4.907815,4.566420,48.421345,4349.009867,-0.318858,39.691920,7.071537,2.631240,-29.001145
4.952776,4.604650,48.384310,4345.134058,-0.321870,39.629940,7.093844,2.640200,-28.999371
4.998131,4.641875,48.348142,4341.246400,-0.323589,39.567296,7.117918,2.649448,-28.999543
5.041804,4.679820,48.310885,4337.343992,-0.326379,39.503428,7.141868,2.658231,-29.000677
5.087199,4.716136,48.273131,4333.430135,-0.327032,39.438999,7.166145,2.666706,-29.000279
5.133330,4.752368,48.236156,4329.501556,-0.329752,39.374433,7.191259,2.676715,-29.000684
5.177322,4.790728,48.199769,4325.559346,-0.329675,39.309000,7.215951,2.685577,-29.000254
5.223120,4.827394,48.160972,4321.602938,-0.330413,39.242928,7.239493,2.694908,-28.999926
5.268598,4.863979,48.124290,4317.632318,-0.331043,39.178668,7.264157,2.703543,-29.001026
5.311474,4.900890,48.086526,4313.647817,-0.331361,39.112444,7.290021,2.714789,-28.999682
5.356670,4.936613,48.049213,4309.650724,-0.330524,39.046244,7.315564,2.723038,-28.998514
5.401554,4.970495,48.010532,4305.641555,-0.330163,38.980393,7.338744,2.733858,-28.997655
5.446113,5.008377,47.973180,4301.617686,-0.329943,38.913721,7.361606,2.743098,-28.998477
5.489129,5.044348,47.935017,4297.579569,-0.329504,38.846647,7.386325,2.752057,-28.997413
5.534858,5.082217,47.899258,4293.527970,-0.328732,38.779343,7.412586,2.762048,-28.997463
5.579547,5.118241,47.862407,4289.461038,-0.326532,38.713368,7.436943,2.769737,-28.997321
5.626108,5.155004,47.827973,4285.377533,-0.326000,38.645923,7.460912,2.778771,-28.995328
5.672838,5.191417,47.790565,4281.281046,-0.324401,38.577193,7.483847,2.789352,-28.995340
5.716645,5.228709,47.754430,4277.172657,-0.321834,38.509513,7.509023,2.797532,-28.996873
5.762406,5.265151,47.717818,4273.049901,-0.317923,38.442800,7.532209,2.804959,-28.996969
5.807729,5.302168,47.682641,4268.915713,-0.316317,38.372821,7.555074,2.813826,-28.996412
5.851106,5.337797,47.647481,4264.764298,-0.312051,38.304573,7.576894,2.824180,-28.997155
5.897175,5.373191,47.613157,4260.599614,-0.307111,38.235431,7.598587,2.832239,-28.999270
5.943717,5.407869,47.579078,4256.422129,-0.302545,38.165305,7.619581,2.840996,-28.998575
5.989467,5.442747,47.546972,4252.233026,-0.298318,38.095355,7.641624,2.849408,-28.998677
