date,date1,date2,date3,date4,date5,OT,OT,OT
4.480838,4.133414,57.286513,4735.569365,-0.302606,39.589564,6.473469,2.415167,-36.998796
4.530539,4.174719,57.250334,4732.022214,-0.314097,39.523825,6.500093,2.424415,-36.997319
4.579048,4.215282,57.211530,4728.464120,-0.325060,39.458351,6.525436,2.434167,-36.997406
4.626057,4.254295,57.171261,4724.893128,-0.333978,39.391053,6.553343,2.445862,-36.997127
4.675749,4.294312,57.129910,4721.308058,-0.341640,39.323415,6.583042,2.453870,-36.996043
4.724828,4.336932,57.085273,4717.710034,-0.350609,39.254322,6.613034,2.463074,-36.995568
4.772036,4.378015,57.041549,4714.095931,-0.359621,39.188093,6.643390,2.473327,-36.994262
4.821178,4.416769,56.997278,4710.466661,-0.367731,39.120240,6.676013,2.484082,-36.996639
4.870104,4.456427,56.951952,4706.822270,-0.376061,39.051212,6.706184,2.496682,-36.995842
4.920594,4.494552,56.905016,4703.162177,-0.383332,38.983493,6.741367,2.509648,-36.997665
4.970623,4.533669,56.858409,4699.485367,-0.390412,38.913442,6.776544,2.523321,-36.998301
5.019967,4.574875,56.811142,4695.788452,-0.396472,38.843648,6.811581,2.536848,-36.998810
5.068974,4.613388,56.762616,4692.074483,-0.402809,38.772020,6.846447,2.549767,-36.998512
5.118046,4.653784,56.714215,4688.341827,-0.409083,38.701544,6.882521,2.562801,-36.998930
5.165869,4.691630,56.664641,4684.590507,-0.414960,38.629961,6.921614,2.575876,-36.998235
5.215324,4.730139,56.613118,4680.819820,-0.418880,38.557411,6.959363,2.593342,-36.998376
5.264838,4.770852,56.560800,4677.026759,-0.423101,38.484536,6.995480,2.606640,-36.998340
5.312595,4.808124,56.510032,4673.214533,-0.425876,38.410612,7.035881,2.620499,-36.996985
5.362116,4.846651,56.455120,4669.380945,-0.429878,38.338363,7.076123,2.635846,-36.997393
5.412465,4.884118,56.403274,4665.525192,-0.432760,38.265187,7.116802,2.651135,-36.998356
5.461223,4.923966,56.351001,4661.645929,-0.435817,38.190670,7.158918,2.666874,-36.998268
5.509666,4.962588,56.300582,4657.745512,-0.437798,38.115573,7.199965,2.683785,-36.998790
5.558975,5.001495,56.247964,4653.819847,-0.439045,38.041272,7.241842,2.699622,-36.998897
5.608873,5.038400,56.196257,4649.873640,-0.439313,37.967296,7.282818,2.714786,-36.998258
5.658683,5.077243,56.141665,4645.903979,-0.440208,37.891160,7.324862,2.730946,-36.998323
5.708385,5.118176,56.087013,4641.910357,-0.439392,37.814732,7.367452,2.746820,-36.998026
5.758139,5.155067,56.033744,4637.892725,-0.439081,37.736830,7.408743,2.763885,-36.999684
5.807546,5.193405,55.979543,4633.851279,-0.438405,37.658745,7.450205,2.778130,-37.000124
5.856998,5.232498,55.927687,4629.785118,-0.436203,37.580322,7.494081,2.794108,-36.999192
5.907075,5.271109,55.872430,4625.693949,-0.435248,37.502409,7.537148,2.810381,-36.998979
5.957136,5.309694,55.821486,4621.580130,-0.433283,37.422221,7.581028,2.826394,-36.999464
6.005201,5.347510,55.767856,4617.440729,-0.430211,37.342600,7.623166,2.840366,-36.999320
6.053238,5.385092,55.718010,4613.276154,-0.426774,37.260614,7.662331,2.855135,-37.000891
6.102850,5.421936,55.665008,4609.087011,-0.423791,37.178840,7.705605,2.871696,-37.001072
6.150040,5.459671,55.613173,4604.874730,-0.419434,37.095011,7.746959,2.887607,-37.000923
6.198995,5.497953,55.561631,4600.638808,-0.414831,37.013783,7.787859,2.901327,-37.001487
6.246822,5.534683,55.511709,4596.376610,-0.408179,36.929408,7.826819,2.915148,-37.000607
6.295686,5.571572,55.462081,4592.093380,-0.404151,36.847385,7.865118,2.929386,-37.000407
6.344733,5.608872,55.414408,4587.788171,-0.397083,36.763509,7.904675,2.942500,-36.998658
6.393509,5.646763,55.367557,4583.457522,-0.388947,36.679522,7.943883,2.958467,-36.998915
6.441530,5.683078,55.322288,4579.105244,-0.381951,36.594686,7.981977,2.973261,-36.999801
6.491228,5.720038,55.275855,4574.731301,-0.375003,36.511030,8.018985,2.987147,-36.999922
6.541284,5.755831,55.231485,4570.334303,-0.367713,36.425383,8.055220,3.000420,-36.999972
6.589377,5.792243,55.188310,4565.915479,-0.360478,36.339746,8.090404,3.013048,-36.998864
6.638719,5.829335,55.143107,4561.477242,-0.351742,36.254045,8.123918,3.027453,-37.001551
6.687977,5.865522,55.101338,4557.017167,-0.341983,36.168057,8.156101,3.039458,-37.002545
6.737158,5.900920,55.061343,4552.538436,-0.332854,36.082041,8.184964,3.050994,-37.001597
6.785974,5.938253,55.023196,4548.040103,-0.323470,35.993371,8.215003,3.061208,-37.001481
6.834700,5.974175,54.984619,4543.522025,-0.313501,35.905395,8.242411,3.070377,-37.000351
6.885291,6.009054,54.947584,4538.988819,-0.302764,35.817853,8.269032,3.079346,-37.000666
6.934186,6.044064,54.912455,4534.437661,-0.293736,35.730394,8.292431,3.088886,-37.000578
6.983542,6.078859,54.878483,4529.869897,-0.284900,35.642112,8.314505,3.096468,-36.998823
7.031841,6.113695,54.846692,4525.288095,-0.273371,35.552708,8.337661,3.105044,-36.999279
7.079983,6.150055,54.814198,4520.690402,-0.262759,35.462100,8.358796,3.111540,-36.998581
7.129775,6.186072,54.783401,4516.079614,-0.250673,35.370998,8.377495,3.116656,-36.997987
7.178331,6.220596,54.754752,4511.453613,-0.240636,35.281673,8.395203,3.122607,-36.998189
7.227879,6.255537,54.726446,4506.818875,-0.228503,35.191519,8.408575,3.128442,-36.998598
7.277418,6.291177,54.700470,4502.170946,-0.217663,35.099478,8.422126,3.133203,-36.999710
7.327664,6.325400,54.675575,4497.512828,-0.207479,35.007693,8.434039,3.137829,-37.001476
7.376729,6.360357,54.652305,4492.847264,-0.195730,34.916970,8.444882,3.143740,-36.999610
7.424952,6.395261,54.629806,4488.172835,-0.182368,34.824978,8.453593,3.145985,-36.999388
7.475554,6.428841,54.609239,4483.491566,-0.169607,34.734426,8.461075,3.149149,-37.000466
7.524753,6.462392,54.588737,4478.803845,-0.158241,34.641540,8.467111,3.150830,-36.999981
7.572431,6.496319,54.570121,4474.111222,-0.146678,34.550017,8.470820,3.152651,-37.001174
7.622303,6.530731,54.552883,4469.413996,-0.133633,34.458688,8.473160,3.153553,-37.002856
7.672581,6.566266,54.538739,4464.711468,-0.123319,34.368150,8.474292,3.154271,-37.001294
7.721994,6.598066,54.522448,4460.008925,-0.112909,34.275561,8.472820,3.153922,-37.001489
7.770063,6.630526,54.510882,4455.301969,-0.101633,34.183314,8.470735,3.152715,-37.003057
7.818305,6.663469,54.497620,4450.595573,-0.091013,34.089746,8.465969,3.150781,-37.001191
7.868462,6.696083,54.487445,4445.887351,-0.079142,33.998077,8.460362,3.148655,-37.001171
7.918736,6.730272,54.480356,4441.180671,-0.067793,33.905497,8.453600,3.146641,-37.000738
7.970555,6.764763,54.471189,4436.476952,-0.058866,33.812535,8.444519,3.143180,-37.001836
8.019087,6.798731,54.465757,4431.776730,-0.050689,33.719678,8.434031,3.142275,-37.001235
8.068926,6.833541,54.458302,4427.080508,-0.041195,33.628919,8.421810,3.137521,-37.000261
8.118579,6.867416,54.452166,4422.386450,-0.031600,33.536887,8.409056,3.133947,-37.001464
8.167559,6.899588,54.449329,4417.698558,-0.023843,33.446005,8.394587,3.127740,-37.000210
8.216426,6.932387,54.450008,4413.015454,-0.014331,33.353353,8.380524,3.121548,-37.001713
8.265775,6.965516,54.447176,4408.338470,-0.007848,33.261423,8.364288,3.116211,-37.002133
8.314793,6.996899,54.446651,4403.671304,-0.000852,33.169519,8.347645,3.111943,-37.002347
8.363946,7.028902,54.445134,4399.010819,0.007837,33.076948,8.330065,3.103751,-37.002427
8.414363,7.061861,54.446558,4394.358290,0.017070,32.984948,8.311879,3.095647,-37.002168
8.464894,7.093729,54.449269,4389.713835,0.023008,32.893339,8.293442,3.087605,-37.002947
8.513917,7.125807,54.450495,4385.080410,0.029840,32.803003,8.273997,3.078861,-37.002035
8.563067,7.158337,54.454033,4380.458640,0.035480,32.711721,8.254066,3.069836,-37.000788
8.614253,7.190576,54.457753,4375.846364,0.039830,32.622780,8.230931,3.062198,-37.001418
8.662793,7.222528,54.463038,4371.243712,0.042497,32.532525,8.207578,3.054654,-37.002398
8.711460,7.253149,54.467863,4366.655356,0.044963,32.441670,8.185927,3.046776,-37.001035
8.762275,7.283887,54.473231,4362.075920,0.044575,32.351927,8.162483,3.036527,-36.998812
8.812036,7.316065,54.477625,4357.511074,0.048287,32.262132,8.139412,3.027178,-36.999360
