mse,average
0.077980,
0.092919,
0.098711,
0.064310,
0.057138,
0.066603,
0.085603,
0.091549,
0.089738,
0.100048,
0.092444,
0.095042,
0.051036,
0.022179,
0.022754,
0.021327,
0.031875,
0.024062,
0.037493,
0.033715,
0.032635,
0.048389,
0.051004,
0.043830,
0.045632,
0.055484,
0.076140,
0.085290,
0.087432,
0.096418,
0.089971,
0.096354,
0.062453,
0.044541,
0.043425,
0.042016,
0.040439,
0.038939,
0.036945,
0.034016,
0.030604,
0.027923,
0.024820,
0.022132,
0.020259,
0.019250,
0.018835,
0.018747,
0.018558,
0.018365,
0.017914,
0.017286,
0.016336,
0.014859,
0.013278,
0.011843,
0.010676,
0.009577,
0.008654,
0.007937,
0.007351,
0.006966,
0.006691,
0.006524,
0.006503,
0.006579,
0.006776,
0.007209,
0.007754,
0.008359,
0.009099,
0.009897,
0.010658,
0.011358,
0.012161,
0.012813,
0.013355,
0.013904,
0.014245,
0.014547,
0.014650,
0.015106,
0.015848,
0.017158,
0.019017,
0.021038,
0.023086,
0.025305,
0.027923,
0.031104,
0.034558,
0.037970,
0.041350,
0.044727,
0.047944,
0.049958,
0.050245,
0.050847,
0.051738,
0.053872,
0.056868,
0.061115,
0.065515,
0.069722,
0.074280,
0.078254,
0.081781,
0.084741,
0.087122,
0.088560,
0.090044,
0.090379,
0.089910,
0.088954,
0.088218,
0.088881,
0.090283,
0.092189,
0.094701,
0.097295,
0.100756,
0.104062,
0.107366,
0.110076,
0.111900,
0.112700,
0.112202,
0.111345,
0.109699,
0.108116,
0.106478,
0.104613,
0.102940,
0.100740,
0.098667,
0.095584,
0.091957,
0.089055,
0.087205,
0.085822,
0.085197,
0.085941,
0.086730,
0.088269,
0.091928,
0.095265,
0.097589,
0.099036,
0.099973,
0.100613,
0.100692,
0.099028,
0.095134,
0.091394,
0.087729,
0.083724,
0.080955,
0.079093,
0.077340,
0.076321,
0.076460,
0.076412,
0.075363,
0.074320,
0.074192,
0.074108,
0.072713,
0.071217,
0.069330,
0.067205,
0.063824,
0.060215,
0.056717,
0.053092,
0.049586,
0.046382,
0.043371,
0.040177,
0.037042,
0.034333,
0.031851,
0.029442,
0.027308,
0.025220,
0.023254,
0.021623,
0.020138,
0.018455,
0.016859,
0.015504,
0.014594,
0.013928,
0.013581,
0.013611,
0.013786,
0.013969,
0.014193,
0.014663,
0.015064,
0.015230,
0.015660,
0.016230,
0.016725,
0.017089,
0.017454,
0.017902,
0.018363,
0.019211,
0.020410,
0.021697,
0.023346,
0.025274,
0.027660,
0.030467,
0.032655,
0.035145,
0.037744,
0.040152,
0.042199,
0.043437,
0.044456,
0.045731,
0.047200,
0.049446,
0.051284,
0.053586,
0.056133,
0.058622,
0.060957,
0.063205,
0.064931,
0.066274,
0.067130,
0.067987,
0.069418,
0.071597,
0.073916,
0.077523,
0.081759,
0.085863,
0.090324,
0.094833,
0.099250,
0.103031,
0.106737,
0.110038,
0.113714,
0.116786,
0.118717,
0.119872,
0.120540,
0.120823,
0.120885,
0.120469,
0.119547,
0.119136,
0.118572,
0.116858,
0.114235,
0.111134,
0.108332,
0.106350,
0.105647,
0.105022,
0.104921,
0.104568,
0.104952,
0.105508,
0.105327,
0.105507,
0.105791,
0.105820,
0.105120,
0.103992,
0.103220,
0.102495,
0.102329,
0.101716,
0.100130,
0.098922,
0.097256,
0.095936,
0.094418,
0.091968,
0.089647,
0.087384,
0.084879,
0.082379,
0.080117,
0.077912,
0.075440,
0.072711,
0.070128,
0.067618,
0.065307,
0.063029,
0.060546,
0.057838,
0.054877,
0.051962,
0.049110,
0.046177,
0.042831,
0.039266,
0.036038,
0.033004,
0.030342,
0.027710,
0.025315,
0.023504,
0.022155,
0.021089,
0.020236,
0.019661,
0.019333,
0.019059,
0.018934,
0.018429,
0.017441,
0.016228,
0.015270,
0.014499,
0.013782,
0.013118,
0.012694,
0.012539,
0.012773,
0.013352,
0.014002,
0.014644,
0.015305,
0.016055,
0.016405,
0.016818,
0.017234,
0.017243,
0.017205,
0.017100,
0.016991,
0.016797,
0.016540,
0.016366,
0.016365,
0.016498,
0.016873,
0.017914,
0.018879,
0.019865,
0.021045,
0.022182,
0.023456,
0.024916,
0.026385,
0.027976,
0.029760,
0.031924,
0.034540,
0.037088,
0.039687,
0.042102,
0.044462,
0.046807,
0.049070,
0.051303,
0.053186,
0.054964,
0.056457,
0.057372,
0.057740,
0.057317,
0.056574,
0.055962,
0.055297,
0.054629,
0.054390,
0.196378,
0.339025,
0.480266,
0.617958,
0.749466,
0.873696,
0.988188,
1.091766,
1.183435,
1.264650,
1.334064,
1.392675,
1.440008,
1.482350,
1.515597,
1.541799,
1.560769,
1.575374,
1.586688,
1.595256,
1.602682,
1.609383,
1.615560,
1.621445,
1.626305,
1.630545,
1.634116,
1.637974,
1.642183,
1.647797,
1.654338,
1.662494,
1.672759,
1.684915,
1.699543,
1.716201,
1.735587,
1.757011,
1.780457,
1.806024,
1.834495,
1.866284,
1.901217,
1.938988,
1.979291,
2.022831,
2.069537,
2.118746,
2.171127,
2.226334,
2.283789,
2.343575,
2.407086,
2.470793,
2.535967,
2.603340,
2.672554,
2.743553,
2.815890,
2.889396,
2.964496,
3.039982,
3.115668,
3.191744,
3.267929,
3.343107,
3.417178,
3.491616,
3.565840,
3.638999,
3.713101,
3.787445,
3.862222,
3.937662,
4.014753,
4.092332,
4.169569,
4.245605,
4.321027,
4.396042,
4.471797,
4.547169,
4.621781,
4.694434,
4.767037,
4.837255,
4.904425,
4.970358,
5.035370,
5.097764,
5.158834,
5.216132,
5.271740,
5.326149,
5.380575,
5.435027,
5.489012,
5.542796,
5.595506,
5.647624,
1.370232,
0.859875,
0.864519,
0.691096,
0.674613,
0.628003,
0.593332,
0.618695,
0.605738,
0.605964,
0.633004,
0.838936,
0.720916,
0.333103,
0.129553,
0.159831,
0.353308,
0.424479,
1.428941,
1.107119,
0.340415,
0.230434,
0.274507,
0.100066,
0.078968,
0.077263,
0.069303,
0.086239,
0.076586,
0.070461,
0.089469,
0.197971,
0.202041,
0.153573,
0.146766,
0.147640,
0.190401,
0.132354,
0.316491,
0.704262,
0.166979,
0.117141,
0.160174,
0.049613,
0.090760,
0.172816,
0.213051,
0.142049,
0.245783,
0.274293,
0.329748,
0.420040,
0.389699,
0.317478,
0.336928,
0.430192,
0.498899,
0.495820,
0.779599,
1.164495,
0.544939,
0.447368,
0.441769,
0.487587,
0.468807,
0.485324,
0.438376,
0.458576,
0.415748,
0.469084,
0.345893,
0.593363,
0.332723,
0.405214,
0.383110,
0.446843,
0.541673,
0.494435,
0.549442,
0.567144,
0.358657,
0.245518,
0.282208,
0.274454,
0.286281,
0.301213,
0.343924,
0.449007,
0.551003,
0.623216,
0.865032,
0.826379,
1.192115,
1.045231,
0.990085,
1.253737,
1.122288,
1.042378,
0.739287,
0.673589,
0.713575,
0.729827,
0.774959,
0.816629,
0.897251,
0.930898,
0.952098,
0.913899,
0.909349,
0.894208,
0.866074,
0.782498,
0.721534,
0.676048,
0.631975,
0.597581,
0.573921,
0.559404,
0.550665,
0.536516,
0.520030,
0.503163,
0.493961,
0.489713,
0.479770,
0.467721,
0.445417,
0.409862,
0.373329,
0.353643,
0.351592,
0.361655,
0.375119,
0.389894,
0.402365,
0.411615,
0.420373,
0.439367,
0.452858,
0.448178,
0.430817,
0.401173,
0.370184,
0.348878,
0.336724,
0.325202,
0.307226,
0.287448,
0.276506,
0.262936,
0.253375,
0.257229,
0.271076,
0.285576,
0.295663,
0.301257,
0.303651,
0.313155,
0.326583,
0.352356,
0.359639,
0.349495,
0.393948,
0.454767,
0.502649,
0.515901,
0.539216,
0.571670,
0.577080,
0.600282,
0.633838,
0.667819,
0.706243,
0.732400,
0.760324,
0.788908,
0.816594,
0.830078,
0.845739,
0.887110,
0.925579,
0.977500,
1.028273,
1.073280,
1.064369,
1.035847,
1.052507,
1.091785,
1.136131,
1.180306,
1.229375,
1.279736,
1.324434,
1.363926,
1.408946,
1.464325,
1.556560,
1.708394,
1.834321,
1.099785,
1.090652,
1.286510,
1.274350,
1.403453,
1.303044,
1.267523,
1.301317,
1.581530,
1.629964,
1.598216,
1.676387,
1.727098,
1.901504,
1.940609,
1.944842,
2.295940,
2.910233,
2.985566,
2.410198,
1.980861,
1.868170,
1.938903,
1.880243,
1.878549,
1.620702,
1.406209,
1.245547,
1.379972,
1.393283,
1.326352,
1.335645,
1.269556,
1.391802,
1.385004,
1.454064,
1.676197,
1.999554,
2.217645,
2.112679,
1.803055,
1.761848,
1.824676,
1.748831,
1.854113,
1.757425,
1.617416,
1.488498,
1.609246,
1.570569,
1.489959,
1.505578,
1.435359,
1.460333,
1.375983,
1.348176,
1.379705,
1.591679,
1.874193,
1.990885,
0.747048,
0.570217,
0.547021,
0.542091,
0.482062,
0.442273,
0.540293,
0.544113,
0.520051,
0.513389,
0.555984,
0.446326,
0.446539,
0.475610,
0.563439,
0.530674,
0.663424,
0.674286,
0.670881,
0.945642,
0.476310,
0.415375,
0.428098,
0.395795,
0.399319,
0.381192,
0.364961,
0.317034,
0.316913,
0.320016,
0.344963,
0.339855,
0.338523,
0.372767,
0.416548,
0.398237,
0.412010,
0.375029,
0.348406,
0.464021,
0.290626,
0.251165,
0.246204,
0.247780,
0.251300,
0.260852,
0.255036,
0.269220,
0.288554,
0.300730,
0.272658,
0.307345,
0.361541,
0.396689,
0.445018,
0.498727,
0.529000,
0.560174,
0.595769,
0.678902,
0.642952,
0.677625,
0.711864,
0.805443,
0.878626,
0.905004,
0.903734,
0.940066,
0.892769,
0.816237,
0.639748,
0.624242,
0.649684,
0.640503,
0.586166,
0.547607,
0.502705,
0.440220,
0.412586,
0.431220,
0.431915,
0.386533,
0.359672,
0.362275,
0.396062,
0.444582,
0.470351,
0.500466,
0.471710,
0.446703,
0.365018,
0.356522,
0.421564,
0.412005,
0.344039,
0.346521,
0.354733,
0.337666,
0.348835,
0.386466,
0.422853,
0.464739,
0.518367,
0.586973,
0.670953,
0.759521,
0.831978,
0.892680,
0.947674,
0.998530,
1.017791,
1.040989,
1.137083,
1.268548,
1.377679,
1.440663,
1.458810,
1.487444,
1.486883,
1.490999,
1.496429,
1.455018,
1.418879,
1.372631,
1.313777,
1.266398,
1.214269,
1.149167,
1.057965,
0.959967,
0.846349,
0.747477,
0.669854,
0.628350,
0.611220,
0.615484,
0.637054,
0.672414,
0.738291,
0.808767,
0.835595,
0.853693,
0.868738,
0.875471,
0.868198,
0.857704,
0.845308,
0.825465,
0.319729,
0.192385,
0.187511,
0.183833,
0.204852,
0.212763,
0.202816,
0.210479,
0.220107,
0.237252,
0.247870,
0.261130,
0.267020,
0.252543,
0.237138,
0.220426,
0.210764,
0.193562,
0.241259,
0.242741,
0.208202,
0.190379,
0.181401,
0.190713,
0.194713,
0.188236,
0.215644,
0.189855,
0.188791,
0.188361,
0.190900,
0.197479,
0.205223,
0.191086,
0.195283,
0.185954,
0.198148,
0.191997,
0.231756,
0.163207,
0.154059,
0.150120,
0.113717,
0.113754,
0.093445,
0.092512,
0.103629,
0.098900,
0.080291,
0.076369,
0.079128,
0.083506,
0.100001,
0.104866,
0.139159,
0.147865,
0.147367,
0.153091,
0.160390,
0.125570,
0.132139,
0.135809,
0.101792,
0.095091,
0.065946,
0.066329,
0.073790,
0.085849,
0.077391,
0.076053,
0.073480,
0.069460,
0.067666,
0.064052,
0.072366,
0.076353,
0.073210,
0.078328,
0.074917,
0.081894,
0.089330,
0.077069,
0.058174,
0.057731,
0.079507,
0.077935,
0.073216,
0.067359,
0.066433,
0.055591,
0.060383,
0.076800,
0.083028,
0.070217,
0.063636,
0.070572,
0.066859,
0.064522,
0.052115,
0.058947,
0.063892,
0.065192,
0.065223,
0.067208,
0.070573,
0.074313,
0.078386,
0.085775,
0.090313,
0.089710,
0.087102,
0.085349,
0.076992,
0.064626,
0.054623,
0.047287,
0.042841,
0.043312,
0.043656,
0.038902,
0.035525,
0.037823,
0.042608,
0.048037,
0.052029,
0.055197,
0.054386,
0.049926,
0.044309,
0.039234,
0.035799,
0.032610,
0.029663,
0.027587,
0.026406,
0.025805,
0.025818,
0.025912,
0.025813,
0.025360,
0.025420,
0.025544,
0.025688,
0.025846,
0.025538,
0.025261,
0.025677,
0.027428,
0.030152,
0.033709,
0.038859,
0.046941,
0.058059,
0.072642,
0.089162,
0.105434,
0.120925,
0.134999,
0.147854,
0.162169,
0.181679,
0.199839,
0.210214,
0.210633,
0.200794,
0.184144,
0.173184,
0.171711,
0.180494,
0.185390,
0.188868,
0.196256,
0.205715,
0.212087,
0.212959,
0.206554,
0.196076,
0.184708,
0.176236,
0.168490,
0.162232,
0.155009,
0.147058,
0.137804,
0.130558,
0.124388,
0.123500,
0.128276,
0.141640,
0.158656,
0.172307,
0.177294,
0.177367,
0.176838,
0.173995,
0.167593,
0.156487,
0.145548,
0.134635,
0.125662,
0.118824,
0.113294,
0.110122,
0.108240,
0.107529,
0.103017,
0.094696,
0.088062,
0.084398,
0.080061,
0.077575,
0.075572,
0.072920,
0.069196,
0.064446,
0.058473,
0.052370,
0.046354,
0.042054,
0.039457,
0.039195,
0.043868,
0.053137,
0.066951,
0.083134,
0.101044,
0.116743,
0.126455,
0.132583,
0.138860,
0.142688,
0.142581,
0.142226,
0.141486,
0.140947,
0.136970,
0.132347,
0.126641,
0.123208,
0.120500,
0.117589,
0.115505,
0.114441,
0.117086,
0.118870,
0.114585,
0.102554,
0.093133,
0.088762,
0.085788,
0.082429,
0.077917,
0.072792,
0.066185,
0.060011,
0.053565,
0.047747,
0.042871,
0.039071,
0.035543,
0.032579,
0.030009,
0.028574,
0.028283,
0.029204,
0.031127,
0.033403,
0.036040,
0.039349,
0.042983,
0.048626,
0.055526,
0.062591,
0.070005,
0.077271,
0.083684,
0.090380,
0.095870,
0.102568,
0.110346,
0.120215,
0.132850,
0.145075,
0.156501,
0.166306,
0.174097,
0.180354,
0.185033,
0.189983,
0.196064,
0.205639,
0.213211,
0.214203,
0.212289,
0.205353,
0.199567,
0.195303,
0.193281,
0.192029,
0.192093,
0.196999,
0.202663,
0.210542,
0.219180,
0.227746,
0.236587,
0.241852,
0.245062,
0.243167,
0.240559,
0.238796,
0.239071,
0.239628,
