0,1,2,3,4,5,6,7,8
10.20748,8.26525,47.00779,3984.41741,0.5188699999999999,34.17733,7.239629589014523,2.696952508026639,0.0
10.25159,8.29569,47.06226,3980.25926,0.5257799999999999,34.18486,7.169391237322334,2.6707868739390404,0.0
10.29565,8.32611,47.11731,3976.13876,0.5310699999999999,34.19243,7.099375870097196,2.6447043074324927,0.0
10.33967,8.35651,47.17277,3972.05616,0.5347300000000001,34.20003,7.029759018535271,2.61877019849607,0.0
10.38363,8.38689,47.22846,3968.01158,0.5367899999999999,34.20765,6.960707931256866,2.593046851641412,0.0
10.42755,8.41724,47.28424,3964.00507,0.5372500000000002,34.2153,6.892381419206847,2.56759342812405,0.0
10.47142,8.44758,47.33992,3960.0366,0.5361199999999999,34.22298,6.824929776140832,2.5424659163224184,0.0
10.51524,8.4779,47.39534,3956.10602,0.5334399999999999,34.23069,6.758494768390705,2.5177171279252395,0.0
10.55901,8.50819,47.45036,3952.21313,0.52921,34.23843,6.693209687434091,2.493396717515039,0.0
10.60273,8.53847,47.5048,3948.35764,0.52346,34.24619,6.629199458698095,2.4695512231004,0.0
10.64641,8.56873,47.55852,3944.53918,0.5162199999999999,34.25399,6.566580800033537,2.446224125151784,0.0
10.69004,8.59897,47.61137,3940.75731,0.50752,34.26182,6.505462423444457,2.4234559217510805,0.0
10.73362,8.62919,47.66319,3937.01155,0.49738999999999994,34.26968,6.4459452738316125,2.401284217529842,0.0
10.77716,8.65939,47.71385,3933.30131,0.48586,34.27756,6.388122798745776,2.379743824159484,0.0
10.82066,8.68957,47.76321,3929.62599,0.4729800000000001,34.28548,6.332081243470715,2.3588668702774607,0.0
10.86411,8.71974,47.81113,3925.9849,0.45878,34.29343,6.277899966086614,2.3386829188566765,0.0
10.90751,8.74989,47.85747,3922.3773,0.44329999999999997,34.30141,6.225651767524785,2.319219090159554,0.0
10.95087,8.78002,47.90213,3918.80243,0.42658,34.30943,6.175403232016347,2.3005001885641208,0.0
10.99419,8.81013,47.94496,3915.25945,0.4086699999999999,34.31747,6.127215073693284,2.282548831682026,0.0
11.03746,8.84023,47.98587,3911.7475,0.38961000000000007,34.32554,6.0811424855368745,2.2653855803510123,0.0
11.08069,8.87031,48.02472,3908.26565,0.36944000000000005,34.33365,6.037235487209308,2.2490290682113385,0.0
11.12388,8.90038,48.06143,3904.81297,0.34822000000000014,34.34179,5.995539268682446,2.2334961297165457,0.0
11.16703,8.93042,48.09589,3901.38846,0.32599000000000006,34.34996,5.956094526935265,2.2188019255621034,0.0
11.21013,8.96046,48.12799,3897.99111,0.3028,34.35817,5.918937793319936,2.204960064637892,0.0
11.25319,8.99048,48.15766,3894.61986,0.2787000000000001,34.3664,5.884101749508913,2.1919827217268093,0.0
11.29621,9.02048,48.1848,3891.27364,0.25374,34.37467,5.851615530213123,2.179880750275254,0.0
11.33919,9.05047,48.20933,3887.95133,0.22798000000000002,34.38297,5.821505011138438,2.1686637896644965,0.0
11.38213,9.08044,48.23118,3884.6518,0.20146000000000003,34.39131,5.7937930808741065,2.158340366496265,0.0
11.42503,9.1104,48.25029,3881.37389,0.17424,34.39968,5.768499895622995,2.1489179894864683,0.0
11.46789,9.14035,48.26657,3878.1164,0.14638,34.40808,5.745643115875274,2.1404032376323734,0.0
11.5107,9.17028,48.27999,3874.87814,0.11791999999999997,34.41652,5.725238124281115,2.132801841375908,0.0
11.55348,9.20019,48.29048,3871.65786,0.08890999999999999,34.42498,5.707298224153557,2.1261187565512114,0.0
11.59622,9.2301,48.298,3868.45433,0.05941999999999997,34.43349,5.691834818113185,2.1203582309344733,0.0
11.63891,9.25999,48.3025,3865.26627,0.029500000000000026,34.44202,5.678857566527062,2.115523863266604,0.0
11.68157,9.28986,48.30396,3862.09239,-0.0007900000000000129,34.45059,5.668374525473169,2.111618654648617,0.0
11.72419,9.31972,48.30234,3858.93138,-0.031409999999999993,34.45919,5.660392264032043,2.1086450522358597,0.0
11.76677,9.34957,48.29761,3855.78192,-0.06229000000000001,34.46783,5.654915960769652,2.106604985180408,0.0
11.80931,9.37941,48.28976,3852.64266,-0.09338000000000002,34.4765,5.651949479330887,2.1054998927916437,0.0
