date,date1,date2,date3,date4,date5,OT,OT,OT
3.65653,3.49311,49.23102,4453.67813,-0.16301,41.39058,6.616434181353137,2.464795821414742,-28.99999951
3.70126,3.53257,49.21161,4450.02112,-0.17006,41.33199,6.623629330682394,2.4674762038556635,-28.99999951
3.74599,3.57195,49.19139,4446.36166,-0.1771,41.27331,6.63156656635251,2.470433032984021,-28.99999951
3.79073,3.61126,49.17038,4442.69935,-0.18412,41.21453,6.640244615514547,2.473665834630095,-28.99999951
3.83547,3.65049,49.14857,4439.03375,-0.19111,41.15566,6.649661064431766,2.4771737096134414,-28.99999951
3.88021,3.68965,49.12596,4435.36446,-0.19806,41.09668,6.6598123538754,2.480955332027695,-28.99999951
3.92496,3.72873,49.10257,4431.69104,-0.20496,41.03759,6.670693774610825,2.4850089475590518,-28.99999951
3.96971,3.76773,49.07841,4428.01307,-0.21178,40.97837,6.682299463044626,2.4893323718646836,-28.99999951
4.01446,3.80666,49.05347,4424.33013,-0.21852,40.91903,6.694622397100174,2.493922989036284,-28.99999951
4.05921,3.84551,49.02779,4420.64181,-0.22517,40.85955,6.707654392450666,2.4987777501967767,-28.99999951
4.10397,3.88428,49.00136,4416.94768,-0.23172,40.79992,6.721386099179632,2.503893172256265,-28.99999951
4.14873,3.92298,48.9742,4413.24733,-0.23815,40.74015,6.735806999023271,2.5092653368847317,-28.99999951
4.1935,3.9616,48.94633,4409.54034,-0.24445,40.68022,6.750905403301875,2.5148898897414367,-28.99999951
4.23827,4.00014,48.91777,4405.8263,-0.25061,40.62012,6.766668451703475,2.520762040021798,-28.99999951
4.28304,4.03861,48.88853,4402.10482,-0.25662,40.55986,6.783082112049425,2.5268765603700594,-28.99999951
4.32781,4.077,48.85863,4398.37549,-0.26247,40.49941,6.8001311812269565,2.5332277872266977,-28.99999951
4.37258,4.11531,48.82809,4394.63791,-0.26814,40.43878,6.817799287432862,2.5398096216642503,-28.99999951
4.41736,4.15354,48.79693,4390.89171,-0.27363,40.37796,6.836068893931207,2.546615530787162,-28.99999951
4.46214,4.19169,48.76519,4387.13651,-0.27893,40.31694,6.854921304491429,2.5536385497576193,-28.99999951
4.50692,4.22977,48.73287,4383.37192,-0.28402,40.25572,6.874336670695148,2.5608712845175345,-28.99999951
4.55171,4.26777,48.70001,4379.5976,-0.2889,40.19429,6.894294001309491,2.5683059152803493,-28.99999951
4.5965,4.30569,48.66663,4375.81319,-0.29356,40.13265,6.914771173922388,2.5759342008654915,-28.99999951
4.64129,4.34353,48.63276,4372.01835,-0.29799,40.07079,6.935744949015691,2.583747483940982,-28.99999951
